姓名 高数 Java 数据结构 平均成绩 总成绩
张三21 70 12 79 53 161
张三67 6 41 50 32 97
张三43 90 87 4 60 181
张三88 38 69 84 63 191
张三32 2 88 90 60 180
张三71 38 38 77 51 153
张三92 54 84 98 78 236
张三36 69 67 12 49 148
张三52 8 70 73 50 151
张三12 26 32 44 34 102
张三18 90 87 19 65 196
张三46 61 32 60 51 153
张三55 45 89 91 75 225
张三91 17 70 41 42 128
张三36 27 4 47 26 78
张三10 68 88 96 84 252
张三17 62 2 24 29 88
张三58 62 5 28 31 95
张三10 57 74 25 52 156
张三55 99 53 35 62 187
张三74 22 2 20 14 44
张三50 82 6 86 58 174
张三43 67 40 22 43 129
张三29 53 61 1 38 115
张三53 54 69 73 65 196
张三34 75 4 20 33 99
张三59 34 84 50 56 168
张三93 26 65 72 54 163
张三26 2 11 92 35 105
张三72 32 62 47 47 141
张三52 33 90 90 71 213
张三91 36 72 42 50 150
张三55 5 52 3 20 60
张三92 94 90 45 76 229
张三30 5 74 84 54 163
张三26 34 57 58 49 149
张三57 71 14 35 40 120
张三97 24 71 92 62 187
张三16 41 29 27 32 97
张三7 37 14 76 42 127
张三47 82 46 42 56 170
张三56 12 49 56 39 117
张三48 32 43 31 35 106
张三12 32 85 92 69 209
张三14 92 42 6 46 140
张三50 92 9 73 58 174
张三42 24 37 86 49 147
张三18 9 19 95 41 123
张三74 62 5 82 49 149
张三96 6 30 88 41 124
张三46 41 67 90 66 198
张三38 72 19 89 60 180
张三50 83 6 20 36 109
张三22 71 37 78 62 186
张三58 20 51 87 52 158
张三41 69 12 44 41 125
张三32 31 88 30 49 149
张三27 88 5 34 42 127
张三42 12 61 59 44 132
张三71 4 8 13 8 25
张三63 23 62 20 35 105
张三86 63 81 30 58 174
张三2 86 38 37 53 161
张三41 69 87 72 76 228
张三9 97 49 81 75 227
张三40 69 52 48 56 169
张三50 9 70 63 47 142
张三41 53 69 37 53 159
张三50 86 12 53 50 151
张三34 16 26 95 45 137
张三40 29 98 71 66 198
张三15 80 14 97 63 191
张三59 34 40 17 30 91
张三43 62 66 69 65 197
张三98 27 82 15 41 124
张三48 19 7 24 16 50
张三97 91 18 89 66 198
张三38 35 36 22 31 93
